id,name,population,pm2010,pm2011,pm2012,pm2013,pm2014,pm2015,pm2016,pm2017,pm2018,pm2019,pm2020,pm2021,pm2022
SLV,El Salvador,6525580.0,30.1,30.71,26.97,28.98,25.92,25.19,26.27,27.36,26.42,28.18,28.13,26.57,27.43
GNQ,Equatorial Guinea,1643647.0,28.64,27.64,28.21,30.76,27.42,29.33,31.57,29.54,28.56,29.31,31.31,31.6,32.87
ERI,Eritrea,6148784.0,12.64,14.53,13.72,12.57,12.88,14.05,13.88,16.07,14.16,13.66,12.6,13.56,14.43
EST,Estonia,1200974.0,9.7,7.76,8.01,7.63,8.38,6.6,6.39,5.69,7.3,5.81,5.55,6.63,5.61
ETH,Ethiopia,113755806.0,17.66,18.72,16.61,17.26,16.18,17.71,17.18,17.89,17.46,17.16,16.88,17.2,16.94
FLK,Falkland Islands,3293.0,1.7,2.0,1.6,1.6,1.7,1.5,1.5,1.6,1.7,1.7,1.7,1.8,2.6
FRO,Faroe Islands,47161.0,2.65,2.67,2.09,2.82,3.23,2.34,1.75,2.4,2.33,2.51,2.31,2.69,2.61
FJI,Fiji,897896.0,2.69,2.86,2.56,2.64,2.37,2.67,2.51,3.29,2.9,2.78,2.36,2.55,3.23
FIN,Finland,5463386.0,7.18,6.24,6.24,5.66,6.52,5.18,4.99,4.36,5.29,4.56,4.34,4.82,4.37
FRA,France,65826552.0,14.49,13.77,12.09,12.94,9.58,10.32,9.82,9.32,9.26,7.87,7.46,8.81,8.45
GUF,French Guiana,294288.0,5.87,5.63,5.73,5.09,4.62,4.99,4.99,4.92,5.02,5.45,4.99,5.42,5.53
PYF,French Polynesia,241690.0,1.17,1.06,1.26,1.26,1.38,1.35,1.19,1.2,1.36,1.38,1.35,1.27,1.48
ATF,French Southern Territories,,,,,,,,,,,,,,
GAB,Gabon,2334485.0,23.47,23.4,23.59,26.05,23.47,25.11,26.01,23.16,23.42,24.06,25.16,24.28,25.65
GMB,Gambia,2396206.0,7.0,6.23,6.96,6.45,6.35,7.06,6.15,6.37,5.9,6.83,7.15,6.95,6.86
GEO,Georgia,4926730.0,12.02,14.87,13.75,13.31,13.6,13.56,12.56,14.01,12.34,13.5,13.14,12.55,13.65
DEU,Germany,84278085.0,15.19,14.52,11.91,12.74,12.41,11.22,11.08,11.14,11.39,9.12,8.38,9.28,8.51
GHA,Ghana,33060716.0,14.87,15.07,13.51,12.69,12.22,13.87,14.19,13.31,13.28,13.49,14.49,13.7,13.73
GIB,Gibraltar,24845.0,9.0,10.1,10.0,9.3,8.5,9.9,7.3,8.8,10.0,8.9,7.5,7.3,7.3
GRC,Greece,10352376.0,10.18,16.09,14.42,10.78,11.28,11.89,11.36,11.73,11.33,10.95,11.78,11.45,12.56
GRL,Greenland,31288.0,1.23,1.22,1.4,1.2,1.35,1.07,0.92,1.16,0.92,1.25,1.07,1.19,1.11
GRD,Grenada,106270.0,3.13,2.28,2.47,1.98,1.88,1.94,2.23,2.47,2.18,2.33,2.27,2.43,2.19
GLP,Guadeloupe,355723.0,3.6,2.7,2.65,2.15,2.15,2.1,2.65,2.65,2.55,2.6,2.45,2.65,2.35
GUM,Guam,165222.0,1.15,1.25,1.56,1.36,1.72,1.93,1.12,1.31,1.04,1.14,0.88,1.17,1.19
GTM,Guatemala,17685494.0,26.59,27.8,26.03,27.7,24.45,23.91,25.04,25.82,23.73,25.9,27.95,26.23,25.13
GGY,Guernsey,66824.0,9.43,9.58,8.81,9.32,8.19,6.9,7.77,7.1,7.66,7.15,6.42,7.95,6.87
GIN,Guinea,13158352.0,12.64,11.36,10.76,11.39,11.43,10.56,10.99,11.18,10.24,10.77,10.35,10.52,9.82
GNB,Guinea-Bissau,1949532.0,8.93,8.15,8.19,8.26,8.47,8.26,7.42,7.9,7.45,8.28,8.65,8.09,7.94
GUY,Guyana,750427.0,8.26,7.01,7.13,6.32,5.97,6.03,6.54,5.88,5.87,6.27,6.14,6.63,7.15
HTI,Haiti,11142349.0,11.46,10.02,9.13,10.08,10.25,10.06,9.78,10.23,10.31,10.92,10.32,11.04,9.92
HMD,Heard Island and McDonald Island,,,,,,,,,,,,,,
HND,Honduras,9419437.0,26.07,30.24,23.52,26.9,23.32,22.4,22.82,24.07,22.97,24.19,30.75,25.04,24.52
HUN,Hungary,9701698.0,18.83,21.97,18.47,17.52,15.94,17.31,15.63,17.41,16.0,12.89,12.6,13.01,11.93
ISL,Iceland,335735.0,3.38,2.97,2.75,2.96,3.1,2.78,2.64,3.06,2.51,3.23,2.48,3.98,2.9
IND,India,1388526433.0,47.57,50.48,46.38,47.58,46.56,46.55,49.77,49.88,50.15,49.2,48.82,51.3,41.39
IDN,Indonesia,273955814.0,17.75,18.84,18.9,17.95,22.45,24.06,19.46,16.53,18.83,22.13,17.47,18.46,18.25
IRN,Iran,86590416.0,17.12,18.53,18.43,15.51,17.42,16.77,16.06,18.49,17.35,18.28,17.61,16.64,18.8
IRQ,Iraq,40461073.0,25.1,26.84,29.02,26.08,25.31,25.67,23.56,25.78,26.79,23.77,24.18,25.35,32.42
IRL,Ireland,5077586.0,7.35,6.39,5.8,6.75,5.58,5.19,5.61,4.86,5.53,5.87,5.2,6.01,5.41
IMN,Isle of Man,89221.0,6.74,6.44,5.8,7.2,6.28,5.79,5.59,5.4,6.0,6.23,5.36,6.27,5.4
ISR,Israel,9030238.0,10.87,12.1,12.59,10.65,10.55,12.47,11.32,12.22,12.18,11.6,13.45,12.77,14.32
ITA,Italy,60574847.0,15.58,18.35,16.28,15.26,12.04,15.88,13.21,15.2,12.69,12.03,13.31,12.18,13.11
JAM,Jamaica,2785453.0,15.31,13.39,12.87,12.63,13.17,12.58,12.64,12.45,12.13,13.51,13.84,13.76,13.17
JPN,Japan,122988765.0,11.47,11.9,12.46,11.9,12.78,12.56,11.55,11.37,11.37,11.26,10.51,10.6,11.26
JEY,Jersey,98012.0,10.08,10.45,9.62,10.27,8.58,7.48,8.1,7.49,8.17,7.05,6.31,8.35,6.94
JOR,Jordan,11001930.0,15.13,17.28,18.62,15.51,14.95,17.36,17.57,17.55,17.34,15.96,21.39,17.7,19.7
KAZ,Kazakhstan,19412475.0,13.56,14.29,15.42,12.42,13.43,12.28,13.11,13.96,13.22,13.97,13.21,12.65,12.01
KEN,Kenya,55776521.0,17.5,17.61,16.62,17.02,14.83,14.96,15.73,13.63,15.68,16.64,18.12,16.5,16.47
KIR,Kiribati,69441.0,1.1,1.0,1.2,1.3,1.5,2.0,1.2,1.1,1.3,1.6,1.1,0.9,0.9
XKO,Kosovo,1948422.0,17.44,25.38,24.06,23.53,18.84,23.08,20.29,18.78,19.95,17.38,18.7,15.54,15.48
KWT,Kuwait,3046740.0,18.38,16.66,19.7,16.28,18.09,19.11,13.9,17.96,19.69,19.01,17.98,17.23,21.77
KGZ,Kyrgyzstan,5938511.0,12.4,14.28,15.38,12.58,12.73,13.26,13.92,13.77,13.16,14.74,13.12,13.03,12.09
LAO,Laos,7781722.0,30.7,27.48,25.15,27.02,27.66,25.28,28.7,25.18,24.22,27.01,27.13,25.35,23.53
LVA,Latvia,1838070.0,19.76,15.65,16.69,15.79,16.68,14.57,13.3,12.7,15.51,12.78,12.7,14.73,12.14
LBN,Lebanon,5262771.0,13.89,17.15,17.12,15.55,14.59,16.66,15.94,17.01,16.46,16.35,17.22,16.29,18.62
LSO,Lesotho,2192613.0,28.92,25.88,23.11,22.41,21.77,23.17,20.73,24.17,23.47,21.31,23.3,22.98,27.87
LBR,Liberia,5247463.0,11.11,11.56,9.66,10.41,10.09,10.44,10.63,9.88,9.68,10.57,9.76,9.03,9.39
LBY,Libya,7118055.0,5.54,7.4,6.97,6.9,5.2,7.33,5.72,6.6,5.87,5.84,6.84,6.4,8.89
LIE,Liechtenstein,39252.0,15.35,14.74,12.55,13.57,9.97,12.25,10.92,10.98,11.09,9.61,10.07,10.3,10.82
LTU,Lithuania,2681456.0,18.08,15.12,15.35,14.46,14.81,13.24,11.74,11.64,12.88,10.85,10.28,12.25,9.53
LUX,Luxembourg,647579.0,15.13,14.37,12.07,13.58,10.91,11.0,10.49,10.08,10.12,8.11,7.5,8.46,8.0
MEX,México,129012029.0,15.59,17.57,16.31,17.04,15.25,16.15,16.11,16.57,15.6,16.64,16.29,16.21,15.64
MKD,Macedonia,2121859.0,19.03,28.48,27.05,25.48,21.99,24.87,22.76,22.27,22.36,20.56,20.6,19.67,19.02
MDG,Madagascar,28065619.0,12.24,11.47,9.87,10.72,9.87,10.64,10.52,9.82,9.77,10.2,8.67,9.62,9.7
MWI,Malawi,20431896.0,18.91,17.01,17.05,16.71,15.02,15.97,14.76,13.98,16.56,17.42,14.26,13.95,17.61
MYS,Malaysia,33543665.0,13.87,17.39,17.59,18.26,19.38,23.88,15.2,13.73,15.26,20.1,12.98,13.44,13.31
MDV,Maldives,248724.0,9.8,12.2,10.9,9.5,10.7,8.7,12.0,11.1,11.4,9.8,9.8,8.6,8.2
MLI,Mali,20722173.0,8.01,7.25,7.53,6.25,7.21,7.0,6.61,7.24,6.48,6.68,6.48,7.58,6.63
MLT,Malta,454693.0,5.61,8.44,7.61,7.68,5.88,8.67,5.74,7.07,6.44,6.36,6.48,5.97,7.16
MHL,Marshall Islands,34683.0,1.1,0.99,0.9,0.99,1.14,1.09,0.95,0.93,1.27,0.99,0.84,0.94,1.02
MTQ,Martinique,334142.0,4.08,3.1,3.1,2.43,2.33,2.57,3.05,2.97,2.77,2.98,3.02,3.15,2.72
MRT,Mauritania,4202525.0,3.79,3.45,3.86,3.14,3.42,3.33,3.29,3.33,3.09,3.33,3.35,3.86,3.51
MUS,Mauritius,1268982.0,6.65,6.75,5.93,6.09,5.59,5.74,6.09,6.09,6.55,6.26,5.42,5.89,5.65
MYT,Mayotte,280400.0,8.38,8.7,7.83,9.03,6.24,6.98,7.09,7.74,7.39,7.62,7.33,7.1,8.15
FSM,Micronesia,77836.0,0.96,1.28,1.24,1.12,1.54,1.64,1.04,0.9,1.18,1.08,0.79,0.93,0.94
MDA,Moldova,3302138.0,14.62,16.92,17.58,15.7,15.89,14.58,14.72,16.15,14.54,12.44,13.55,13.74,11.49
MCO,Monaco,15885.0,14.6,14.5,14.3,12.2,9.8,12.3,11.1,12.4,10.7,9.6,9.6,9.5,9.9
MNG,Mongolia,3225649.0,33.42,36.08,35.27,34.7,32.12,31.36,37.32,33.4,29.74,34.01,30.97,36.17,30.1
MNE,Montenegro,580747.0,14.99,26.36,21.46,18.74,14.82,19.25,17.15,18.67,17.9,15.99,16.97,15.11,15.09
MSR,Montserrat,4185.0,3.61,2.72,2.72,2.22,2.29,2.19,2.6,2.62,2.59,2.71,2.59,2.81,2.22
MAR,Morocco,35973141.0,7.32,7.89,7.67,8.34,6.88,8.81,7.59,7.08,8.39,8.2,7.78,8.56,7.06
MOZ,Mozambique,31589279.0,14.76,12.45,12.99,12.72,11.13,12.41,11.37,10.86,12.79,12.93,10.13,10.67,12.7
MMR,Myanmar,57254967.0,33.47,30.61,30.4,32.41,33.03,31.03,32.43,29.74,31.5,33.25,33.69,33.89,28.64
NAM,Namibia,2724421.0,18.38,16.61,15.18,14.34,12.22,14.4,13.19,13.41,14.02,13.02,11.72,12.34,14.49
NRU,Nauru,6093.0,1.46,1.25,1.85,1.89,2.63,3.4,1.82,1.66,1.95,2.62,1.56,1.18,1.18
NPL,Nepal,30713796.0,42.34,44.47,43.84,41.54,41.99,44.17,44.7,44.35,48.81,45.46,43.36,47.93,39.18
NLD,Netherlands,17352186.0,15.16,14.86,11.93,12.61,12.19,10.96,10.87,10.63,11.21,9.56,8.1,9.25,8.49
NCL,New Caledonia,278054.0,3.31,3.5,3.16,3.28,3.04,2.95,3.54,3.17,3.4,3.95,2.97,3.3,4.35
NZL,New Zealand,4900364.0,3.65,3.63,3.36,3.64,3.21,3.21,3.14,3.7,3.39,4.73,3.76,3.55,3.69
NIC,Nicaragua,6275788.0,17.62,16.75,13.49,14.44,11.96,12.2,14.19,14.75,13.3,13.75,15.01,13.31,14.62
NER,Niger,24472789.0,11.49,9.62,10.8,8.51,9.39,9.84,9.8,10.16,10.24,9.73,9.69,8.5,10.56
NGA,Nigeria,224204738.0,25.5,23.66,23.85,21.32,21.39,23.24,24.93,24.97,25.25,24.52,25.29,23.86,25.02
NIU,Niue,1614.0,0.9,0.8,1.0,1.0,0.9,0.9,0.8,1.1,1.0,0.9,1.0,0.9,1.2
NFK,Norfolk Island,2145.0,1.6,1.7,1.6,1.7,1.8,1.7,1.7,1.8,1.7,3.1,2.0,1.8,1.6
PRK,North Korea,25771391.0,20.5,24.56,23.96,23.24,29.58,28.87,25.61,23.66,20.56,21.13,21.83,20.92,18.6
ZNC,Northern Cyprus,424874.0,11.11,16.67,18.3,12.31,12.16,12.04,11.7,11.86,10.66,10.23,12.28,11.18,14.51
MNP,Northern Mariana Islands,48457.0,1.09,1.09,1.59,1.29,1.39,1.5,0.99,1.18,0.89,0.99,0.79,0.89,1.09
NOR,Norway,4996028.0,7.12,6.97,5.87,5.86,6.06,5.04,5.38,4.88,5.88,5.05,4.25,5.51,4.88
OMN,Oman,3672632.0,11.78,11.57,12.58,11.83,12.04,11.54,11.99,11.0,12.44,11.97,9.76,11.11,13.44
PAK,Pakistan,242780172.0,41.85,40.41,36.86,38.94,38.31,42.24,40.55,39.91,39.36,40.62,42.84,43.17,38.9
PLW,Palau,19050.0,1.5,2.9,3.2,2.6,3.9,5.08,2.39,2.18,2.58,2.91,2.0,2.51,2.4
PSE,Palestine,5008666.0,10.78,11.84,12.52,10.44,10.38,12.24,11.04,11.85,11.88,11.18,13.35,12.67,13.99
PAN,Panama,4292094.0,11.09,10.23,10.0,9.49,9.44,9.44,9.93,9.79,9.29,9.59,9.19,8.76,9.65
PNG,Papua New Guinea,9321025.0,14.33,12.53,11.63,13.38,12.89,12.69,11.6,12.74,12.31,11.84,11.44,13.03,14.45
XPI,Paracel Islands,237.0,5.8,8.0,5.7,7.4,7.2,6.8,6.9,5.6,6.2,4.8,3.9,4.2,4.0
PRY,Paraguay,7347726.0,15.39,13.1,13.19,11.08,13.03,14.01,12.95,13.22,12.02,15.28,18.64,14.79,13.23
PER,Peru,32210444.0,25.58,23.86,23.45,23.41,21.47,23.08,24.78,24.68,23.9,23.93,22.82,22.29,25.48
PHL,Philippines,111444111.0,19.33,20.45,18.43,18.59,19.11,18.92,18.18,19.13,17.65,19.82,18.72,19.23,19.17
