id,name,population,pm2010,pm2011,pm2012,pm2013,pm2014,pm2015,pm2016,pm2017,pm2018,pm2019,pm2020,pm2021,pm2022
THA,Thailand,69398464.0,24.25,25.2,23.12,25.09,23.67,21.83,23.87,20.96,21.85,21.95,23.48,22.38,21.15
TLS,Timor-Leste,1422731.0,11.39,14.36,13.14,9.67,11.61,10.71,10.03,10.59,10.97,10.94,9.22,10.77,10.96
TGO,Togo,8492314.0,16.69,16.74,16.05,14.71,14.35,16.35,16.15,15.84,15.52,15.68,17.48,15.67,15.64
TKL,Tokelau,520.0,1.62,1.3,1.63,1.71,1.97,1.78,1.88,1.57,1.68,1.8,1.8,1.32,1.61
TON,Tonga,96190.0,1.49,1.47,1.56,1.65,1.47,1.5,1.29,1.89,1.59,1.47,1.5,1.76,1.98
TTO,Trinidad and Tobago,1392155.0,5.75,3.96,4.0,3.73,3.2,3.24,4.01,4.18,3.56,4.22,4.01,3.7,3.9
TUN,Tunisia,11804434.0,6.59,10.58,9.05,8.77,6.91,10.39,7.66,9.23,8.18,7.9,8.67,8.36,10.18
TUR,Turkey,82471080.0,16.35,21.68,21.93,20.58,20.35,21.46,19.36,21.55,19.98,19.69,20.02,19.12,21.1
TKM,Turkmenistan,5610753.0,8.97,11.06,11.2,7.72,8.61,8.17,7.86,9.42,8.55,9.58,9.75,9.72,10.38
TCA,Turks and Caicos Islands,53341.0,3.5,2.74,2.93,2.43,2.3,2.53,2.55,2.88,2.63,2.98,2.67,3.48,2.66
TUV,Tuvalu,5993.0,1.65,1.16,1.57,1.76,2.07,1.97,1.97,1.46,1.78,2.03,1.74,1.38,1.56
UGA,Uganda,46038830.0,29.83,30.52,29.16,30.8,26.84,27.14,28.22,24.2,24.29,29.45,29.82,28.23,27.81
UKR,Ukraine,43430262.0,16.61,17.63,17.04,16.4,15.79,15.0,14.78,15.59,14.13,13.96,13.21,13.34,10.81
ARE,United Arab Emirates,9842766.0,15.6,15.28,17.78,16.0,15.62,14.43,15.41,15.45,15.45,16.09,12.17,14.51,20.71
GBR,United Kingdom,67517941.0,11.35,11.29,9.78,10.92,10.38,8.8,9.22,8.93,9.16,8.73,7.85,8.79,8.28
USA,United States,336069291.0,8.87,8.98,8.21,7.99,7.93,7.57,6.93,7.23,7.32,6.84,7.26,7.77,6.91
UMI,United States Minor Outlying Islands,40.0,3.2,2.9,2.9,3.8,4.0,3.8,3.6,3.9,3.5,3.2,2.8,2.6,3.2
URY,Uruguay,3389313.0,8.18,8.49,9.01,8.83,9.16,8.33,8.17,8.56,8.31,8.68,8.82,8.41,9.08
UZB,Uzbekistan,31254931.0,16.97,19.29,19.98,15.8,16.83,16.33,17.07,18.46,17.35,18.76,20.07,18.26,18.64
VUT,Vanuatu,271111.0,4.89,5.02,4.86,5.57,4.96,4.81,5.12,6.09,5.66,4.62,3.79,4.23,5.12
VAT,Vatican City,1000.0,13.3,16.9,15.3,15.1,10.8,14.8,12.0,13.4,10.7,10.3,12.3,10.8,11.1
VEN,Venezuela,29591564.0,18.19,15.94,14.12,13.31,12.4,13.12,15.62,14.73,13.29,14.24,12.72,10.89,11.96
VNM,Vietnam,103500052.0,28.96,30.32,28.1,28.71,28.02,25.8,26.66,26.59,24.8,26.42,24.64,24.68,23.58
VIR,Virgin Islands U.S.,81176.0,3.0,1.89,2.15,1.9,1.99,1.85,2.09,2.59,2.09,2.14,2.24,2.34,1.75
WLF,Wallis and Futuna,13063.0,1.56,1.36,1.66,1.56,1.62,1.92,1.64,1.76,1.63,1.52,1.62,1.35,1.85
ESH,Western Sahara,649596.0,3.49,3.68,3.31,3.59,4.34,3.44,3.89,3.74,5.74,4.56,3.8,4.87,4.84
YEM,Yemen,30898308.0,17.24,18.83,16.48,15.96,16.6,17.4,16.39,16.9,17.48,17.92,15.44,15.38,16.76
ZMB,Zambia,19648981.0,22.99,21.09,21.6,20.67,19.17,21.32,19.93,18.48,19.88,20.82,18.14,18.43,22.18
ZWE,Zimbabwe,15096699.0,18.7,15.32,16.9,15.86,13.9,16.55,14.54,14.15,16.67,15.15,12.28,13.92,15.97
